building_index,feature_id,name,address,function,height,year_of_construction,opening_embodied_emissions_kgco2e,envelope_embodied_emissions_kgco2e,component_embodied_emissions_kgco2e,opening_end_of_life_emissions_kgco2e,envelope_end_of_life_emissions_kgco2e,component_end_of_life_emissions_kgco2e,total_embodied_emissions_kgco2e,total_end_of_life_emissions_kgco2e,total_lca_emissions_kgco2e
1,100000,01109565,rue Knox  (MTL) 2469,1000,12.0,1989,17813.12417032561,341257.06773714366,359070.1919074693,57294.2119722043,6910.991577008151,64205.20354921245,359070.1919074693,64205.20354921245,423275.3954566817
2,100001,02063607,rue De Rouville  (MTL) 3257 Ã  3265,1000,12.0,1885,19190.35003472754,1392428.832527461,1411619.1825621885,68594.22979071726,28972.498702097568,97566.72849281483,1411619.1825621885,97566.72849281483,1509185.9110550033
3,100002,05287623,8e Avenue  (PAT) 830,1000,5.0,2021,5865.20088519065,116998.68849505873,122863.88938024937,16586.77995179512,2404.731104078078,18991.511055873198,122863.88938024937,18991.511055873198,141855.40043612255
4,100003,04011399,rue de Dieppe  (PFD) 43,1000,7.0,1964,7706.431059798763,621133.658273172,628840.0893329708,24786.99920729394,13005.68215661036,37792.681363904296,628840.0893329708,37792.681363904296,666632.770696875
5,100004,02054834,avenue Pierre-De Coubertin  (MTE+MTL) 9715 Ã  9717,1000,9.0,1961,9141.962689203485,678349.211218617,687491.1739078205,29404.249538088356,14127.574724693026,43531.82426278138,687491.1739078205,43531.82426278138,731022.9981706019
6,100005,05191263,rue du Square-Saint-Louis  (MTL) 371,1000,16.0,1900,18220.740719362922,1257415.437607513,1275636.178326876,65128.445994956244,26067.64004819207,91196.08604314832,1275636.178326876,91196.08604314832,1366832.2643700242
7,100006,01042676,rue du Square-Saint-Louis  (MTL) 361 Ã  367,1000,15.0,1885,27292.24130779526,1897123.3010595206,1924415.5423673159,97553.7323906449,39328.61985695419,136882.3522475991,1924415.5423673159,136882.3522475991,2061297.894614915
8,100007,05056901,14e Avenue  (LCH) 779,1000,6.0,1936,2709.098258861567,189200.69694191383,191909.7952007754,9683.435068026403,3924.000496626759,13607.435564653162,191909.7952007754,13607.435564653162,205517.23076542857
9,100008,05057204,11e Avenue  (LCH) 797 Ã  799,1000,8.0,1951,8502.783430603693,647911.3814956779,656414.1649262815,27348.390521989473,13517.495700791265,40865.88622278074,656414.1649262815,40865.88622278074,697280.0511490623
10,100009,01011683,avenue Victoria  (MTL+WMT) 463 Ã  465,1000,12.0,1923,6676.602889375799,442482.18965564424,449158.79254502006,23864.933781116026,9144.596944207786,33009.53072532381,449158.79254502006,33009.53072532381,482168.3232703439
11,100010,01011689,avenue Victoria  (MTL+WMT) 445 Ã  447,1000,10.0,1924,5563.615599213426,375762.65276908496,381326.26836829836,19886.657939487824,7776.4637735625865,27663.121713050412,381326.26836829836,27663.121713050412,408989.39008134877
12,100011,01046736,rue Lesage  (VRD) 4021 Ã  4023,1000,9.0,1907,8350.672519392598,608692.4508944616,617043.1234138542,29848.749432171386,12663.452441067726,42512.201873239115,617043.1234138542,42512.201873239115,659555.3252870933
13,100012,05054459,rue des Ã‰rables  (LCH) 74,1000,14.0,1917,15619.814378450374,1038658.9655247726,1054278.779903223,55831.66199808123,21464.348718701935,77296.01071678317,1054278.779903223,77296.01071678317,1131574.7906200062
14,100013,05286201,rue Deslauriers  (PFD) 36,1000,6.0,2021,3820.7396449540297,52154.26937147431,55975.00901642834,10805.046405821835,1032.2388462527356,11837.285252074571,55975.00901642834,11837.285252074571,67812.29426850291
15,100014,05286201,rue Deslauriers  (PFD) 36,1000,6.0,2021,4687.323849280921,73680.00609283283,78367.32994211375,13255.745331269532,1482.1162744754404,14737.861605744973,78367.32994211375,14737.861605744973,93105.19154785872
16,100015,05061714,rue Rosewood  (LCH) 121,1000,9.0,1942,5978.014204673863,429724.6513754591,435702.665580133,21367.889554151785,8926.34786613969,30294.237420291473,435702.665580133,30294.237420291473,465996.90300042444
17,100016,04045475,7e Avenue  (LSL) 224 Ã  226,1000,9.0,1953,9060.180538889012,659241.9756313799,668302.1561702689,29141.20506532452,13717.360032385395,42858.565097709914,668302.1561702689,42858.565097709914,711160.7212679788
18,100017,04045592,8e Avenue  (LSL) 229,1000,9.0,1950,8788.264582334405,645044.4549422545,653832.7195245889,31412.88403449524,13429.280500735487,44842.164535230724,653832.7195245889,44842.164535230724,698674.8840598196
19,100018,05101093,9e Avenue  (LSL) 227 Ã  229,1000,8.0,1950,8427.501520846672,631092.7550868066,639520.2566076532,30123.367986329857,13156.956571808825,43280.32455813868,639520.2566076532,43280.32455813868,682800.581165792
20,100019,01014668,rue Dumas  (MTL) 6845 Ã  6847,1000,9.0,1918,8759.726615811196,604167.8316055699,612927.5582213812,31310.87756614473,12548.495615496906,43859.37318164163,612927.5582213812,43859.37318164163,656786.9314030228
21,100020,01040544,rue Robin  (MTL) 1251 Ã  1259,1000,12.0,1870,22879.215517545083,1733633.6927146043,1756512.9082321494,81779.75721140165,36157.30930561583,117937.06651701749,1756512.9082321494,117937.06651701749,1874449.974749167
22,100021,01040501,rue de la Visitation  (MTL) 1750 Ã  1754,1000,15.0,1979,37198.58279983135,2813596.198060674,2850794.7808605055,119645.68750660503,58677.089886490416,178322.77739309543,2850794.7808605055,178322.77739309543,3029117.558253601
23,100022,01003861,rue Redpath-Crescent  (MTL) 1430,1000,16.0,1958,24085.99463369515,1686324.8373434416,1710410.8319771367,77470.30048795087,34990.92076416196,112461.22125211282,1710410.8319771367,112461.22125211282,1822872.0532292495
24,100023,02061246,rue Joliette  (MTL) 2590,1000,42.0,2016,50804.99946557291,363641.9393608031,414446.938826376,150077.29253293297,6327.229644946292,156404.52217787926,414446.938826376,156404.52217787926,570851.4610042552
25,100024,02009163,21e Avenue  (MTL) 7310,1000,12.0,1950,13782.44704157221,978621.0266075502,992403.4736491224,49264.15295902225,20324.95777434176,69589.11073336401,992403.4736491224,69589.11073336401,1061992.5843824865
26,100025,05057306,10e Avenue  (LCH) 825,1000,8.0,1947,5648.552505020683,406231.7631522023,411880.315657223,20190.257489475825,8444.952480001512,28635.209969477335,411880.315657223,28635.209969477335,440515.5256267003
27,100026,02098701,rue Victoria  (MTE+PAT) 12301 Ã  12307,1000,12.0,2022,17671.983704879087,262244.4968472534,279916.4805521325,49976.34535667067,5240.58554415275,55216.93090082342,279916.4805521325,55216.93090082342,335133.4114529559
28,100027,01058653,rue Clark  (MTL) 3589 Ã  3591,1000,22.0,1910,21959.97901956316,1439655.8497758775,1461615.8287954407,78494.02665096473,29733.346576628264,108227.373227593,1461615.8287954407,108227.373227593,1569843.2020230338
29,100028,02096771,rue Victoria  (MTE+PAT) 13171,1000,6.0,1956,8695.959561360924,764469.2597852516,773165.2193466125,27969.723089917836,16086.997013788157,44056.72010370599,773165.2193466125,44056.72010370599,817221.9394503185
30,100029,03044956,avenue De Chateaubriand  (MTL) 7281 Ã  7283,1000,11.0,1925,12380.962768703133,885907.1585938624,898288.1213625656,44254.66985489488,18414.57298323176,62669.242838126636,898288.1213625656,62669.242838126636,960957.3642006922
31,100030,02103638,boulevard Perras  (MTL) 10665,1000,13.0,2022,17532.458970333275,249672.3016309299,267204.76060126314,49581.76960128819,4965.669428138303,54547.439029426496,267204.76060126314,54547.439029426496,321752.19963068963
32,100031,04001425,rue Deslauriers  (PFD) 74,1000,15.0,2021,21512.96547893195,281770.99490719964,303283.9603861316,60838.63647545125,5544.636481828174,66383.27295727942,303283.9603861316,66383.27295727942,369667.233343411
33,100032,04028414,rue Lauzon  (PFD) 43,1000,11.0,1955,4765.803300123409,308953.4899590631,313719.29325918655,15328.75097508009,6380.384838887049,21709.13581396714,313719.29325918655,21709.13581396714,335428.4290731537
